00100000000001000000000000001010     ;ADDI R4,R0,10
00100000001000010000000000000001     ;ADDI R1,R1,1
00000000001000010001000000011000     ;MUL R2,R1,R1
00000000110000100011000000100000     ;ADD R6,R6,R2
00100000000001000000000000001010     ;ADDI R4,R0,10
00100000001000010000000000000001     ;ADDI R1,R1,1
00000000001000010001000000011000     ;MUL R2,R1,R1
00000000110000100011000000100000     ;ADD R6,R6,R2
00100000000001000000000000001010     ;ADDI R4,R0,10
00100000001000010000000000000001     ;ADDI R1,R1,1
00000000001000010001000000011000     ;MUL R2,R1,R1
00000000110000100011000000100000     ;ADD R6,R6,R2
00100000000001000000000000001010     ;ADDI R4,R0,10
00100000001000010000000000000001     ;ADDI R1,R1,1
00000000001000010001000000011000     ;MUL R2,R1,R1
00000000110000100011000000100000     ;ADD R6,R6,R2
00100000000001000000000000001010     ;ADDI R4,R0,10
00100000001000010000000000000001     ;ADDI R1,R1,1
00000000001000010001000000011000     ;MUL R2,R1,R1
00000000110000100011000000100000     ;ADD R6,R6,R2
00100000000001000000000000001010     ;ADDI R4,R0,10
00100000001000010000000000000001     ;ADDI R1,R1,1
00000000001000010001000000011000     ;MUL R2,R1,R1
00000000110000100011000000100000     ;ADD R6,R6,R2
00100000000001000000000000001010     ;ADDI R4,R0,10
00100000001000010000000000000001     ;ADDI R1,R1,1
00000000001000010001000000011000     ;MUL R2,R1,R1
00000000110000100011000000100000     ;ADD R6,R6,R2
00100000000001000000000000001010     ;ADDI R4,R0,10
00100000001000010000000000000001     ;ADDI R1,R1,1
00000000001000010001000000011000     ;MUL R2,R1,R1
00000000110000100011000000100000     ;ADD R6,R6,R2
00100000000001000000000000001010     ;ADDI R4,R0,10
00100000001000010000000000000001     ;ADDI R1,R1,1
00000000001000010001000000011000     ;MUL R2,R1,R1
00000000110000100011000000100000     ;ADD R6,R6,R2
00100000000001000000000000001010     ;ADDI R4,R0,10
00100000001000010000000000000001     ;ADDI R1,R1,1
00000000001000010001000000011000     ;MUL R2,R1,R1
00000000110000100011000000100000     ;ADD R6,R6,R2
